[2025-08-09T22:20:27.012+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-09T22:20:27.110+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-09T22:20:23.742178+00:00 [queued]>
[2025-08-09T22:20:27.133+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-09T22:20:23.742178+00:00 [queued]>
[2025-08-09T22:20:27.134+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-09T22:20:27.157+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-08-09 22:20:23.742178+00:00
[2025-08-09T22:20:27.169+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2677) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-09T22:20:27.168+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'manual__2025-08-09T22:20:23.742178+00:00', '--job-id', '859', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmpo1m9z0hg']
[2025-08-09T22:20:27.171+0000] {standard_task_runner.py:72} INFO - Started process 2678 to run task
[2025-08-09T22:20:27.177+0000] {standard_task_runner.py:105} INFO - Job 859: Subtask generator_stream_data
[2025-08-09T22:20:27.271+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data manual__2025-08-09T22:20:23.742178+00:00 [running]> on host e139a9424c76
[2025-08-09T22:20:28.279+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-08-09T22:20:23.742178+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-08-09T22:20:23.742178+00:00'
[2025-08-09T22:20:28.289+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-09T22:20:28.449+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.10', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.10', 19092) IPv4]
[2025-08-09T22:20:28.590+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.10', 19092)]>: Broker version identified as 2.6
[2025-08-09T22:20:28.592+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.10', 19092)]>: Connection complete.
[2025-08-09T22:20:28.710+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-09T22:20:28.713+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-09T22:20:28.713+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.10', 19092)]>: Closing connection. 
[2025-08-09T22:20:28.821+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tammy Phillips', 'song': 'Radiant', 'album': 'Threshold', 'genre': 'Hip-Hop', 'artist': 'Kimberly Jones', 'stream_date': '2024-11-25'}
[2025-08-09T22:20:28.930+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Christopher Perez', 'song': 'Radiance', 'album': 'Daybreak', 'genre': 'Rock', 'artist': 'Kayla Walker', 'stream_date': '2025-08-18'}
[2025-08-09T22:20:28.936+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Michelle Moore', 'song': 'Horizon!', 'album': 'Visions', 'genre': 'Rock', 'artist': 'Ryan Roberts', 'stream_date': '2025-03-09'}
[2025-08-09T22:20:28.941+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Vanessa Johnson', 'song': 'Radiance', 'album': 'Limelight', 'genre': 'Rock', 'artist': 'Norma Summers', 'stream_date': '2025-08-28'}
[2025-08-09T22:20:28.944+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'John Daniel', 'song': 'Celestial', 'album': 'Afterglow', 'genre': 'Electronic', 'artist': 'Jesse Gray', 'stream_date': '2024-11-08'}
[2025-08-09T22:20:28.952+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Rachel Brown', 'song': 'Reverie', 'album': 'Islands', 'genre': 'Pop', 'artist': 'Christopher Patterson', 'stream_date': '2025-01-27'}
[2025-08-09T22:20:28.961+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Lauren Pierce', 'song': 'Vortex', 'album': 'Limelight', 'genre': 'R&B', 'artist': 'Brandon Ward', 'stream_date': '2025-01-29'}
[2025-08-09T22:20:28.962+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Madeline Montoya', 'song': 'Horizon', 'album': 'Exodus', 'genre': 'Rock', 'artist': 'Katherine Floyd', 'stream_date': '2025-06-29'}
[2025-08-09T22:20:28.965+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Randy Foster', 'song': 'Mirage', 'album': 'Ascension', 'genre': 'Country', 'artist': 'Victoria Turner', 'stream_date': '2025-02-17'}
[2025-08-09T22:20:28.969+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kimberly Schroeder', 'song': 'Silhouette', 'album': 'Rebellion', 'genre': 'Hip-Hop', 'artist': 'Sabrina Roberts', 'stream_date': '2025-04-03'}
[2025-08-09T22:20:28.980+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sara Roberts', 'song': 'Spectrum', 'album': 'Paragon', 'genre': 'Classical', 'artist': 'Cassandra Burns', 'stream_date': '2025-08-05'}
[2025-08-09T22:20:28.991+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sharon Mcdonald', 'song': 'Aurora?', 'album': 'Elysium', 'genre': 'Reggae', 'artist': 'Karen Winters', 'stream_date': '2024-12-19'}
[2025-08-09T22:20:28.993+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kelly Ramirez', 'song': 'Celestial', 'album': 'Paragon', 'genre': 'Country', 'artist': 'Kathleen Juarez', 'stream_date': '2024-12-02'}
[2025-08-09T22:20:29.001+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Frank French', 'song': 'Odyssey', 'album': 'Visions', 'genre': 'R&B', 'artist': 'Tammy Novak', 'stream_date': '2024-08-30'}
[2025-08-09T22:20:29.004+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Amber Giles', 'song': 'Echo?', 'album': 'Paragon', 'genre': 'Rock', 'artist': 'Jason Mann', 'stream_date': '2025-03-31'}
[2025-08-09T22:20:29.005+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Michael Reyes', 'song': 'Vortex', 'album': 'Nightfall', 'genre': 'Reggae', 'artist': 'Mr. Brian Singleton', 'stream_date': '2024-10-01'}
[2025-08-09T22:20:29.010+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Theresa Moss', 'song': 'Labyrinth', 'album': 'Utopia', 'genre': 'Classical', 'artist': 'Gerald Larson', 'stream_date': '2025-06-25'}
[2025-08-09T22:20:29.014+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jason Lewis', 'song': 'Luminous', 'album': 'Paragon', 'genre': 'Country', 'artist': 'Jane Silva', 'stream_date': '2024-12-22'}
[2025-08-09T22:20:29.016+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Dr. James Villarreal', 'song': 'Mosaic', 'album': 'Static', 'genre': 'Reggae', 'artist': 'Peter Brown', 'stream_date': '2025-06-26'}
[2025-08-09T22:20:29.020+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Brittany Spencer', 'song': 'Horizon!', 'album': 'Rebellion', 'genre': 'Rock', 'artist': 'Amy King', 'stream_date': '2024-12-06'}
[2025-08-09T22:20:29.024+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Hailey Lin', 'song': 'Tempest', 'album': 'Islands', 'genre': 'Rock', 'artist': 'Kevin Carlson', 'stream_date': '2025-03-04'}
[2025-08-09T22:20:29.027+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Bobby Sutton', 'song': 'Drift', 'album': 'Nightfall', 'genre': 'Pop', 'artist': 'Mary Hutchinson', 'stream_date': '2025-07-15'}
[2025-08-09T22:20:29.037+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Shelley Barnes', 'song': 'Quantum', 'album': 'Ascension', 'genre': 'Jazz', 'artist': 'Miranda Holland', 'stream_date': '2025-05-18'}
[2025-08-09T22:20:29.044+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Valerie Dickson', 'song': 'Solstice', 'album': 'Rebellion', 'genre': 'Electronic', 'artist': 'James Martin', 'stream_date': '2025-07-01'}
[2025-08-09T22:20:29.047+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Hannah Burns', 'song': 'Pulse!', 'album': 'Afterglow', 'genre': 'Reggae', 'artist': 'Ashlee Williams', 'stream_date': '2025-04-12'}
[2025-08-09T22:20:29.048+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jeffrey Hall', 'song': 'Odyssey', 'album': 'Exodus', 'genre': 'Reggae', 'artist': 'David Patterson', 'stream_date': '2024-12-03'}
[2025-08-09T22:20:29.049+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kayla Alvarez', 'song': 'Reverie', 'album': 'Islands', 'genre': 'Electronic', 'artist': 'Charles Rivera', 'stream_date': '2025-02-22'}
[2025-08-09T22:20:29.052+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kevin Gonzales', 'song': 'Nocturne', 'album': 'Afterglow', 'genre': 'Metal', 'artist': 'Denise Pittman', 'stream_date': '2025-07-24'}
[2025-08-09T22:20:29.065+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Juan Smith', 'song': 'Pulse', 'album': 'Elysium', 'genre': 'Country', 'artist': 'William Sandoval', 'stream_date': '2025-06-21'}
[2025-08-09T22:20:29.067+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Pamela Sims PhD', 'song': 'Crescendo', 'album': 'Sanctuary', 'genre': 'R&B', 'artist': 'Penny Miller', 'stream_date': '2025-01-09'}
[2025-08-09T22:20:29.081+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Laura Clarke', 'song': 'Constellation', 'album': 'Visions', 'genre': 'Metal', 'artist': 'Michael Gonzalez', 'stream_date': '2024-12-04'}
[2025-08-09T22:20:29.086+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Dwayne Davis', 'song': 'Odyssey', 'album': 'Static', 'genre': 'R&B', 'artist': 'Sally Shelton', 'stream_date': '2024-10-02'}
[2025-08-09T22:20:29.088+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mr. Henry Parker', 'song': 'Aurora?', 'album': 'Sanctuary', 'genre': 'Jazz', 'artist': 'Holly Booth', 'stream_date': '2025-05-29'}
[2025-08-09T22:20:29.090+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tracey Martinez', 'song': 'Luminous', 'album': 'Elysium', 'genre': 'Electronic', 'artist': 'Spencer Garcia', 'stream_date': '2024-10-23'}
[2025-08-09T22:20:29.092+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Laura Page', 'song': 'Phoenix', 'album': 'Paragon', 'genre': 'Rock', 'artist': 'Jonathan Rivera', 'stream_date': '2024-11-16'}
[2025-08-09T22:20:29.095+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Gabriel Spencer', 'song': 'Tempest', 'album': 'Afterglow', 'genre': 'Pop', 'artist': 'Jared Price', 'stream_date': '2025-09-03'}
[2025-08-09T22:20:29.097+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Matthew Reed', 'song': 'Velocity', 'album': 'Visions', 'genre': 'Rock', 'artist': 'Miss Laurie Poole MD', 'stream_date': '2025-08-18'}
[2025-08-09T22:20:29.101+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Alyssa Payne', 'song': 'Silhouette', 'album': 'Rebellion', 'genre': 'Metal', 'artist': 'Elizabeth Hamilton', 'stream_date': '2025-03-09'}
[2025-08-09T22:20:29.103+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Alexis Harmon', 'song': 'Paradox', 'album': 'Daybreak', 'genre': 'Pop', 'artist': 'Kayla Roman', 'stream_date': '2024-12-03'}
[2025-08-09T22:20:29.105+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Taylor Galvan', 'song': 'Phoenix', 'album': 'Afterglow', 'genre': 'Hip-Hop', 'artist': 'Mario Garcia', 'stream_date': '2025-03-26'}
[2025-08-09T22:20:29.111+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Robert Williams', 'song': 'Equinox', 'album': 'Paragon', 'genre': 'Metal', 'artist': 'Tara Curtis', 'stream_date': '2024-09-09'}
[2025-08-09T22:20:29.117+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Dawn Washington', 'song': 'Velvet', 'album': 'Rebellion', 'genre': 'Electronic', 'artist': 'Tara Lopez', 'stream_date': '2025-09-05'}
[2025-08-09T22:20:29.120+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Thomas Hernandez', 'song': 'Odyssey', 'album': 'Sanctuary', 'genre': 'Rock', 'artist': 'Brandy George', 'stream_date': '2025-08-27'}
[2025-08-09T22:20:29.123+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Danielle Hodges', 'song': 'Pulse', 'album': 'Limelight', 'genre': 'Hip-Hop', 'artist': 'Shannon Sharp', 'stream_date': '2025-03-13'}
[2025-08-09T22:20:29.126+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tara Harrell', 'song': 'Solace', 'album': 'Exodus', 'genre': 'Classical', 'artist': 'Patrick Jones', 'stream_date': '2025-03-10'}
[2025-08-09T22:20:29.127+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jacqueline Schroeder', 'song': 'Ember', 'album': 'Elysium', 'genre': 'Rock', 'artist': 'Pamela King', 'stream_date': '2025-08-31'}
[2025-08-09T22:20:29.132+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Raymond Garcia', 'song': 'Ember', 'album': 'Afterglow', 'genre': 'Reggae', 'artist': 'Dr. Howard Ramirez', 'stream_date': '2025-07-20'}
[2025-08-09T22:20:29.135+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kevin Huang PhD', 'song': 'Tempest', 'album': 'Threshold', 'genre': 'Country', 'artist': 'Christopher Rollins', 'stream_date': '2025-04-09'}
[2025-08-09T22:20:29.137+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Joseph Bray', 'song': 'Eclipse', 'album': 'Rebellion', 'genre': 'Reggae', 'artist': 'Laura Beck', 'stream_date': '2024-10-22'}
[2025-08-09T22:20:29.138+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kirsten Perry', 'song': 'Tempest', 'album': 'Utopia', 'genre': 'Rock', 'artist': 'Krystal Wagner', 'stream_date': '2025-05-15'}
[2025-08-09T22:20:29.141+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Lori Hudson PhD', 'song': 'Cascade', 'album': 'Afterglow', 'genre': 'Classical', 'artist': 'Steven Kline', 'stream_date': '2024-12-18'}
[2025-08-09T22:20:29.143+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Steve Harris', 'song': 'Constellation', 'album': 'Afterglow', 'genre': 'Reggae', 'artist': 'William Johnson', 'stream_date': '2024-11-08'}
[2025-08-09T22:20:29.146+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Adam Lewis', 'song': 'Crescendo', 'album': 'Threshold', 'genre': 'Metal', 'artist': 'Nina Ingram', 'stream_date': '2024-08-08'}
[2025-08-09T22:20:29.150+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Grant Warren', 'song': 'Pulse!', 'album': 'Visions', 'genre': 'Pop', 'artist': 'Brandi Olson', 'stream_date': '2025-02-08'}
[2025-08-09T22:20:29.153+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mrs. Lori Yoder DVM', 'song': 'Vortex', 'album': 'Islands', 'genre': 'Electronic', 'artist': 'Sharon Holland', 'stream_date': '2025-05-23'}
[2025-08-09T22:20:29.156+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jared Doyle', 'song': 'Horizon!', 'album': 'Static', 'genre': 'R&B', 'artist': 'James Walter', 'stream_date': '2024-08-13'}
[2025-08-09T22:20:29.157+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Carl Tran', 'song': 'Aurora', 'album': 'Islands', 'genre': 'Pop', 'artist': 'Stephanie Flowers', 'stream_date': '2025-05-27'}
[2025-08-09T22:20:29.160+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Travis Baker', 'song': 'Labyrinth', 'album': 'Rebellion', 'genre': 'Reggae', 'artist': 'Jacob Little', 'stream_date': '2024-08-25'}
[2025-08-09T22:20:29.163+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Nicholas Haas', 'song': 'Mosaic', 'album': 'Ascension', 'genre': 'Classical', 'artist': 'Melanie Jones', 'stream_date': '2024-12-02'}
[2025-08-09T22:20:29.165+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ryan Bennett', 'song': 'Vapor', 'album': 'Nightfall', 'genre': 'Electronic', 'artist': 'Adrienne Collins', 'stream_date': '2025-03-25'}
[2025-08-09T22:20:29.167+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sara Owens', 'song': 'Horizon', 'album': 'Utopia', 'genre': 'R&B', 'artist': 'Jessica Wilkinson', 'stream_date': '2025-08-09'}
[2025-08-09T22:20:29.170+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Heather Rivera', 'song': 'Vortex', 'album': 'Daybreak', 'genre': 'Classical', 'artist': 'Theresa Bell', 'stream_date': '2024-10-27'}
[2025-08-09T22:20:29.171+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Alexander Carlson', 'song': 'Horizon', 'album': 'Static', 'genre': 'Pop', 'artist': 'Wendy Carter', 'stream_date': '2025-01-02'}
